task,model,n,n_total,accuracy,accuracy_std,ci_lo,ci_hi,unknown_rate,macro_f1
neurips_impact_statement_risks,llama_3_8b,40,50,0.8026250000000001,0.02941061670553678,0.75,0.875,0.0,0.7875615167634464
neurips_impact_statement_risks,qwen_3_4b,full,50,0.86,,,,0.0,0.8594941790445605
neurips_impact_statement_risks,qwen_3_4b,5,50,0.873,0.14721073330433485,0.6,1.0,0.0,0.853422619047619
neurips_impact_statement_risks,qwen_3_4b,10,50,0.8655000000000002,0.087519997714808,0.7,1.0,0.0,0.8613455343675932
neurips_impact_statement_risks,qwen_3_4b,16,50,0.8571875,0.06654929446470488,0.75,1.0,0.0,0.86150295404443
neurips_impact_statement_risks,qwen_3_4b,25,50,0.8534,0.05142411885487198,0.76,0.96,0.0,0.8540959278414547
neurips_impact_statement_risks,qwen_3_4b,32,50,0.8546875,0.03694247005480278,0.78125,0.9375,0.0,0.8580472471027657
neurips_impact_statement_risks,qwen_3_4b,40,50,0.85775,0.02389952928406752,0.825,0.9,0.0,0.8611658904244434
neurips_impact_statement_risks,qwen_3_8b,full,50,0.9,,,,0.0,0.8980008159934721
neurips_impact_statement_risks,qwen_3_8b,5,50,0.9,0.13564659966250536,0.6,1.0,0.0,0.8820198412698413
neurips_impact_statement_risks,qwen_3_8b,10,50,0.9005000000000001,0.07713462257637616,0.7975000000000001,1.0,0.0,0.894728030139795
neurips_impact_statement_risks,qwen_3_8b,16,50,0.8990625,0.05885545721298918,0.8125,1.0,0.0,0.8910934856992268
neurips_impact_statement_risks,qwen_3_8b,25,50,0.8972,0.04166725332920326,0.84,0.96,0.0,0.8996612395273703
neurips_impact_statement_risks,qwen_3_8b,32,50,0.905625,0.03336001536270629,0.84375,0.96875,0.0,0.8971338876325038
neurips_impact_statement_risks,qwen_3_8b,40,50,0.9008750000000001,0.02227351285720329,0.875,0.95,0.0,0.8987783979551645
one_stop_english,llama_3_8b,full,50,0.38,,,,0.0,0.18357487922705315
one_stop_english,llama_3_8b,5,50,0.3820000000000001,0.2001899098356358,0.0,0.8,0.0,0.22293650793650793
one_stop_english,llama_3_8b,10,50,0.392,0.1324235628579748,0.2,0.7,0.0,0.18627799488093608
one_stop_english,llama_3_8b,16,50,0.39875,0.10280442597476043,0.1875,0.625,0.0,0.18520634599459926
one_stop_english,llama_3_8b,25,50,0.37,0.06606057825965497,0.24,0.48,0.0,0.18539386754301115
one_stop_english,llama_3_8b,32,50,0.37796875,0.054090265630125166,0.28046875000000004,0.4695312500000002,0.0,0.1826573245429234
one_stop_english,llama_3_8b,40,50,0.378875,0.03446896248801232,0.3,0.45,0.0,0.1833391218796425
one_stop_english,qwen_3_4b,full,50,0.4,,,,0.0,0.23408748114630465
one_stop_english,qwen_3_4b,5,50,0.40700000000000003,0.2072462303637873,0.0,0.8,0.0,0.25738293650793653
one_stop_english,qwen_3_4b,10,50,0.405,0.12835497652993436,0.2,0.6025000000000006,0.0,0.22909648548619135
one_stop_english,qwen_3_4b,16,50,0.3940625,0.09358266315803371,0.1875,0.5625,0.0,0.2338982765336447
one_stop_english,qwen_3_4b,25,50,0.3978000000000001,0.07768629222713617,0.24,0.52,0.0,0.2321144278672199
one_stop_english,qwen_3_4b,32,50,0.400625,0.049584208675746755,0.3125,0.5,0.0,0.2320776759377739
one_stop_english,qwen_3_4b,40,50,0.400125,0.03386531226786489,0.349375,0.475,0.0,0.23234230770830933
one_stop_english,qwen_3_8b,full,50,0.4,,,,0.0,0.26021505376344084
one_stop_english,qwen_3_8b,5,50,0.41300000000000003,0.21361413810888077,0.0,0.8,0.0,0.25878968253968254
one_stop_english,qwen_3_8b,10,50,0.4125,0.13562355990018843,0.1,0.6,0.0,0.25685010387216267
one_stop_english,qwen_3_8b,16,50,0.39375,0.1021258414898012,0.1875,0.5625,0.0,0.24350420759923389
one_stop_english,qwen_3_8b,25,50,0.39660000000000006,0.07197527353195679,0.24,0.56,0.0,0.255664309314609
one_stop_english,qwen_3_8b,32,50,0.3996875,0.05560305044464737,0.28125,0.5,0.0,0.2613080516946357
one_stop_english,qwen_3_8b,40,50,0.396625,0.03696937076824544,0.325,0.475,0.0,0.2603151178359811
overruling,llama_3_8b,full,50,0.9,,,,0.0,0.8996386993175431
overruling,llama_3_8b,5,50,0.8909999999999999,0.13534770038681854,0.6,1.0,0.0,0.863984126984127
overruling,llama_3_8b,10,50,0.8875000000000003,0.0859869176095992,0.7,1.0,0.0,0.8911294892328175
overruling,llama_3_8b,16,50,0.8903125,0.062342770982287916,0.8125,1.0,0.0,0.8945808895382897
overruling,llama_3_8b,25,50,0.8992000000000001,0.04524776237561367,0.839,1.0,0.0,0.898542322497986
overruling,llama_3_8b,32,50,0.9003125,0.03115454170341782,0.84375,0.96875,0.0,0.9005029336995551
overruling,llama_3_8b,40,50,0.898375,0.0203220170012723,0.875,0.95,0.0,0.8994537408023423
overruling,qwen_3_4b,full,50,0.98,,,,0.0,0.9799919967987194
overruling,qwen_3_4b,5,50,0.98,0.05999999999999998,0.8,1.0,0.0,0.9686666666666668
