task,model,n,n_total,accuracy,accuracy_std,ci_lo,ci_hi,unknown_rate,macro_f1
rte,llama_3_8b,full,277,0.7833935018050542,,,,0.0,0.7681620354871108
rte,llama_3_8b,16,277,0.791875,0.09804933388350989,0.5625,1.0,0.0,0.7439961242097968
rte,llama_3_8b,32,277,0.77875,0.06407088359777786,0.65625,0.90625,0.0,0.769088302909426
rte,llama_3_8b,64,277,0.78546875,0.041301754937744475,0.703125,0.859375,0.0,0.7665854471328177
rte,llama_3_8b,128,277,0.786015625,0.025481088843922566,0.734375,0.8359375,0.0,0.7669272554137919
rte,llama_3_8b,256,277,0.78408203125,0.006976102089721088,0.76953125,0.796875,0.0,0.7675878663032821
rte,qwen_3_4b,full,277,0.8664259927797834,,,,0.0,0.8658595641646489
rte,qwen_3_4b,16,277,0.869375,0.08081373258920788,0.6875,1.0,0.0,0.8556493293226569
rte,qwen_3_4b,32,277,0.8690625,0.05549757173741928,0.75,0.96875,0.0,0.8668830742273954
rte,qwen_3_4b,64,277,0.869296875,0.03786210266690659,0.796875,0.953125,0.0,0.8623650017910899
rte,qwen_3_4b,128,277,0.866171875,0.02085088778647986,0.828125,0.9140625,0.0,0.8649627215776817
rte,qwen_3_4b,256,277,0.86634765625,0.006211766601501012,0.85546875,0.87890625,0.0,0.86586045089132
rte,qwen_3_8b,full,277,0.8592057761732852,,,,0.0,0.8575347162695011
rte,qwen_3_8b,16,277,0.8621875,0.08083970926314617,0.6875,1.0,0.0,0.8436223886090605
rte,qwen_3_8b,32,277,0.86171875,0.05965701937691406,0.71875,0.96875,0.0,0.8543957033413379
rte,qwen_3_8b,64,277,0.860546875,0.04119010507220606,0.780859375,0.9375,0.0,0.8549109261385681
rte,qwen_3_8b,128,277,0.861953125,0.022139996462496897,0.8201171875,0.90625,0.0,0.8581625837460877
rte,qwen_3_8b,256,277,0.85955078125,0.006042673312105821,0.84765625,0.875,0.0,0.8577870713369637
